Date,QQQ,VOO,HOOD,SOFI,BTC,ETH
2022-08-25,314.3547058105469,368.85546875,9.8100004196167,6.690000057220459,,
2022-08-26,301.4698791503906,356.2137451171875,9.380000114440918,6.179999828338623,,
2022-08-29,298.4987487792969,353.86138916015625,9.380000114440918,6.0,,
2022-08-30,295.174560546875,350.0172424316406,9.470000267028809,5.909999847412109,,
2022-08-31,293.45855712890625,347.26324462890625,9.550000190734863,5.920000076293945,,
2022-09-01,293.5860290527344,348.3342590332031,9.630000114440918,5.849999904632568,,
2022-09-02,289.4381408691406,344.681396484375,9.449999809265137,5.739999771118164,,
2022-09-06,287.3593444824219,343.5243225097656,9.569999694824219,5.650000095367432,,
2022-09-07,293.1643371582031,349.6825866699219,9.850000381469727,5.820000171661377,,
2022-09-08,294.6842346191406,351.968017578125,10.100000381469727,6.190000057220459,,
2022-09-09,301.12664794921875,357.3995361328125,10.600000381469727,6.329999923706055,,
2022-09-12,304.705810546875,361.3297424316406,11.010000228881836,6.409999847412109,,
2022-09-13,287.9966735839844,345.5706787109375,10.40999984741211,5.840000152587891,,
2022-09-14,290.2814636230469,346.8616638183594,10.779999732971191,6.170000076293945,,
2022-09-15,285.4471740722656,342.98876953125,11.25,6.409999847412109,,
2022-09-16,283.7018127441406,340.29217529296875,10.25,6.050000190734863,,
2022-09-19,285.91107177734375,342.9027099609375,10.260000228881836,6.079999923706055,,
2022-09-20,283.63201904296875,339.03948974609375,9.9399995803833,5.889999866485596,,
2022-09-21,278.55328369140625,333.07244873046875,9.920000076293945,5.690000057220459,,
2022-09-22,275.1249084472656,330.26104736328125,9.649999618530273,5.360000133514404,,
2022-09-23,270.6454162597656,324.7721862792969,9.4399995803833,5.309999942779541,,
2022-09-26,269.5255432128906,321.6260986328125,9.239999771118164,5.079999923706055,,
2022-09-27,269.6336364746094,320.71771240234375,9.609999656677246,5.079999923706055,,
2022-09-28,274.99713134765625,327.0173645019531,10.010000228881836,5.25,,
2022-09-29,267.06964111328125,320.1980895996094,9.770000457763672,4.840000152587891,,
